127.0.0.1 - - [26/Feb/2020:00:54:33 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/ HTTP/1.1" 200 11417
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/css/main_6.css HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/searchbar.png HTTP/1.1" 200 3636
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/KakaoTalk_20200101_193858750.png HTTP/1.1" 200 31523
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/banner1.png HTTP/1.1" 200 331476
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/banner3.png HTTP/1.1" 200 333288
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/banner4.png HTTP/1.1" 200 332982
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/banner2.png HTTP/1.1" 200 211500
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/images/event.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:45 +0900] "GET /siktam/resources/fonts/BMJUA_ttf.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:46 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:52 +0900] "GET /siktam/views/login_2.jsp HTTP/1.1" 200 1438
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:54:52 +0900] "GET /siktam/resources/css/login_2.css HTTP/1.1" 200 2600
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:02 +0900] "GET /siktam/login.do?userId=heeyeon&password=heeyeon HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:02 +0900] "GET /siktam/listMain.ma HTTP/1.1" 200 11762
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:02 +0900] "GET /siktam/resources/images/event.png HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:02 +0900] "GET /siktam/resources/fonts/BMJUA_ttf.ttf HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:07 +0900] "GET /siktam/searchMain.sc?keyword= HTTP/1.1" 200 40198
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:07 +0900] "GET /siktam/resources/css/searchConditions_4.css HTTP/1.1" 200 2658
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:07 +0900] "GET /siktam/resources/css/headerfooterLayout.css HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:07 +0900] "GET /siktam/resources/images/shop.png HTTP/1.1" 200 6012
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:12 +0900] "GET /siktam/SearchCondition.sc?clist=%ED%94%BC%EC%9E%90&key=null HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:14 +0900] "GET /siktam/SearchCondition.sc?clist=%EC%A4%91%EC%8B%9D&clist=%ED%94%BC%EC%9E%90&key=null HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:18 +0900] "GET /siktam/sSelect.so?shopPid=S8 HTTP/1.1" 200 13378
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:18 +0900] "GET /siktam/resources/css/productDetailPage_6.css HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:18 +0900] "GET /siktam/resources/images/search4.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:18 +0900] "GET /siktam/resources/images/KakaoTalk_20200101_193858750.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:18 +0900] "GET /siktam/resources/images/search2.png HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:18 +0900] "GET /siktam/resources/images/menu.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:19 +0900] "GET /siktam/resources/images/menu.png HTTP/1.1" 404 794
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:23 +0900] "GET /siktam/reservation.rc?ShopId=S8 HTTP/1.1" 200 14430
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:23 +0900] "GET /siktam/resources/css/reservation_4.css HTTP/1.1" 200 3450
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:23 +0900] "GET /siktam/resources/images/03.png HTTP/1.1" 200 16493
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:23 +0900] "GET /siktam/resources/images/udon.png HTTP/1.1" 200 475999
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:23 +0900] "GET /siktam/resources/images/leftArrow.png HTTP/1.1" 200 1598
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:23 +0900] "GET /siktam/resources/images/rightArrow.png HTTP/1.1" 200 1561
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:26 +0900] "GET /siktam/reservationPay.rc?m0list=%EC%A7%9C%EC%9E%A5%EB%A9%B4&m0list=6000&m0list=1&m0list=M29&m0list=%EC%A7%AC%EB%BD%95&m0list=5000&m0list=0&m0list=M30&m0list=%EB%AC%BC%EB%A7%8C%EB%91%90&m0list=5000&m0list=0&m0list=M31&m0list=%EC%86%8C%EA%B3%A0%EA%B8%B0%ED%83%95%EC%88%98%EC%9C%A1&m0list=36000&m0list=0&m0list=M32 HTTP/1.1" 200 85
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:26 +0900] "GET /siktam/reservationPay.rc?m0list=%EC%A7%9C%EC%9E%A5%EB%A9%B4&m0list=6000&m0list=2&m0list=M29&m0list=%EC%A7%AC%EB%BD%95&m0list=5000&m0list=0&m0list=M30&m0list=%EB%AC%BC%EB%A7%8C%EB%91%90&m0list=5000&m0list=0&m0list=M31&m0list=%EC%86%8C%EA%B3%A0%EA%B8%B0%ED%83%95%EC%88%98%EC%9C%A1&m0list=36000&m0list=0&m0list=M32 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:26 +0900] "GET /siktam/reservationPay.rc?m0list=%EC%A7%9C%EC%9E%A5%EB%A9%B4&m0list=6000&m0list=3&m0list=M29&m0list=%EC%A7%AC%EB%BD%95&m0list=5000&m0list=0&m0list=M30&m0list=%EB%AC%BC%EB%A7%8C%EB%91%90&m0list=5000&m0list=0&m0list=M31&m0list=%EC%86%8C%EA%B3%A0%EA%B8%B0%ED%83%95%EC%88%98%EC%9C%A1&m0list=36000&m0list=0&m0list=M32 HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:31 +0900] "POST /siktam/pay.pc HTTP/1.1" 200 13302
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:31 +0900] "GET /siktam/resources/js/jquery-3.4.1.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:31 +0900] "GET /siktam/resources/images/%EB%84%A4%EC%9D%B4%EB%B2%84%ED%8E%98%EC%9D%B4_%EB%A1%9C%EA%B3%A0_(800px_X_400px).jpg HTTP/1.1" 200 37144
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:31 +0900] "GET /siktam/resources/css/pay_5.css HTTP/1.1" 200 6359
0:0:0:0:0:0:0:1 - - [26/Feb/2020:00:55:31 +0900] "GET /siktam/resources/images/%EC%B9%B4%EC%B9%B4%EC%98%A4%ED%8E%98%EC%9D%B4.png HTTP/1.1" 200 46642
